Ticker ,Name ,Market cap 
NITCO,Nitco Limited,"2,111.73"
BFUTILITIE,BF Utilities Limited,"2,101.89"
UEL,Ujaas Energy Limited,"2,101.59"
HINDOILEXP,Hindustan Oil Exploration Company Limited,"2,097.38"
KICL,Kalyani Investment Company Limited,"2,089.43"
SCILAL,Shipping Corporation of India Land and Assets Limited,"2,077.46"
TEAMLEASE,Teamlease Services Limited,"2,065.84"
APCOTEXIND,Apcotex Industries Limited,"2,060.32"
SILVERTUC,Silver Touch Technologies Limited,"2,060.12"
TALBROAUTO,Talbros Automotive Components Limited,"2,057.34"
VIMTALABS,Vimta Labs Limited,"2,041.61"
SPAL,S. P. Apparels Limited,"2,038.89"
INSECTICID,Insecticides (India) Limited,"2,036.56"
TAJGVK,Taj GVK Hotels & Resorts Limited,"2,034.64"
JAICORPLTD,Jai Corp Limited,"2,032.03"
BGRENERGY,BGR Energy Systems Limited,"2,026.82"
FILATEX,Filatex India Limited,"2,024.91"
CANTABIL,Cantabil Retail India Limited,"2,022.87"
SHK,S H Kelkar and Company Limited,"2,022.61"
JNKINDIA,JNK India Limited,"2,016.96"
TCIEXP,TCI Express Limited,"2,014.50"
EPACKPEB,EPack Prefab Technologies Limited,"2,014.15"
MSPL,MSP Steel & Power Limited,"2,012.70"
PFS,PTC India Financial Services Limited,"2,001.35"
MUKANDLTD,Mukand Limited,"1,994.76"
SASKEN,Sasken Technologies Limited,"1,991.46"
LAOPALA,La Opala RG Limited,"1,986.90"
EIHAHOTELS,EIH Associated Hotels Limited,"1,980.12"
APOLLOPIPE,Apollo Pipes Limited,"1,979.89"
VINCOFE,Vintage Coffee And Beverages Limited,"1,977.87"
MTNL,Mahanagar Telephone Nigam Limited,"1,975.05"
THEJO,Thejo Engineering Limited,"1,970.66"
AURUM,Aurum PropTech Limited,"1,965.87"
GSPCROP,GSP Crop Science Limited,"1,958.90"
ASIANTILES,Asian Granito India Limited,"1,947.84"
SHRINGARMS,Shringar House of Mangalsutra Limited,"1,947.35"
NILKAMAL,Nilkamal Limited,"1,944.26"
EMSLIMITED,EMS Limited,"1,932.47"
INDOCO,Indoco Remedies Limited,"1,930.95"
STUDDS,Studds Accessories Limited,"1,927.14"
BCG,Brightcom Group Limited,"1,925.65"
SATIN,Satin Creditcare Network Limited,"1,920.64"
KRSNAA,Krsnaa Diagnostics Limited,"1,917.82"
DELTACORP,Delta Corp Limited,"1,903.86"
HGS,Hinduja Global Solutions Limited,"1,903.61"
SOMANYCERA,Somany Ceramics Limited,"1,900.33"
MBEL,M & B Engineering Limited,"1,887.61"
SIMPLEXINF,Simplex Infrastructures Limited,"1,882.55"
ADOR,Ador Welding Limited,"1,881.24"
SPORTKING,Sportking India Limited,"1,880.67"
HITECH,Hi-Tech Pipes Limited,"1,875.07"
MOLDTKPAC,Mold-Tek Packaging Limited,"1,874.44"
TCC,TCC Concept Limited,"1,862.86"
VIKRAN,Vikran Engineering Limited,"1,862.12"
SPECTRUM,Spectrum Electrical Industries Limited,"1,858.97"
VIDYAWIRES,Vidya Wires Limited,"1,858.52"
VERANDA,Veranda Learning Solutions Limited,"1,856.77"
COSMOFIRST,COSMO FIRST LIMITED,"1,852.76"
NDRAUTO,Ndr Auto Components Limited,"1,847.16"
GNA,GNA Axles Limited,"1,839.58"
SPANDANA,Spandana Sphoorty Financial Limited,"1,823.83"
CONFIPET,Confidence Petroleum India Limited,"1,820.81"
RISHABH,Rishabh Instruments Limited,"1,819.28"
SDBL,Som Distilleries & Breweries Limited,"1,816.43"
STOVEKRAFT,Stove Kraft Limited,"1,813.10"
YASHO,Yasho Industries Limited,"1,808.56"
GEOJITFSL,Geojit Financial Services Limited,"1,806.76"
SAKSOFT,Saksoft Limited,"1,802.29"
DYCL,Dynamic Cables Limited,"1,802.27"
WAAREEINDO,Indosolar Limited,"1,800.19"
WINDLAS,Windlas Biotech Limited,"1,796.45"
TASTYBITE,Tasty Bite Eatables Limited,"1,794.28"
INDNIPPON,India Nippon Electricals Limited,"1,791.73"
HINDWAREAP,Hindware Home Innovation Limited,"1,788.27"
BLSE,BLS E-Services Limited,"1,785.89"
ORIENTHOT,Oriental Hotels Limited,"1,774.38"
ASALCBR,Associated Alcohols & Breweries Ltd.,"1,770.98"
SHALBY,Shalby Limited,"1,761.52"
INFOBEAN,InfoBeans Technologies Limited,"1,748.18"
IPL,India Pesticides Limited,"1,742.23"
STALLION,Stallion India Fluorochemicals Limited,"1,741.94"
SPMLINFRA,SPML Infra Limited,"1,733.12"
INDIANHUME,Indian Hume Pipe Company Limited,"1,722.96"
SOLARWORLD,Solarworld Energy Solutions Limited,"1,712.39"
DOLLAR,Dollar Industries Limited,"1,700.35"
MOBIKWIK,One Mobikwik Systems Limited,"1,695.69"
SUMMITSEC,Summit Securities Limited,"1,695.39"
DOLPHIN,Dolphin Offshore Enterprises (India) Limited,"1,678.53"
YATRA,Yatra Online Limited,"1,667.78"
LANDMARK,Landmark Cars Limited,"1,665.23"
AMRUTANJAN,Amrutanjan Health Care Limited,"1,648.03"
SANSTAR,Sanstar Limited,"1,641.84"
GODAVARIB,Godavari Biorefineries Limited,"1,635.58"
VINDHYATEL,Vindhya Telelinks Limited,"1,616.14"
GOCLCORP,GOCL Corporation Limited,"1,611.85"
MCLOUD,Magellanic Cloud Limited,"1,609.97"
RANEHOLDIN,Rane Holdings Limited,"1,609.11"
5PAISA,5Paisa Capital Limited,"1,608.67"
SBC,SBC Exports Limited,"1,606.67"
SEPC,SEPC Limited,"1,605.72"
DLINKINDIA,D-Link (India) Limited,"1,601.27"
NELCO,NELCO Limited,"1,597.97"
EXICOM,Exicom Tele-Systems Limited,"1,597.84"
ARFIN,Arfin India Limited,"1,594.26"
JGCHEM,J.G.Chemicals Limited,"1,593.71"
WALCHANNAG,Walchandnagar Industries Limited,"1,590.13"
JYOTISTRUC,Jyoti Structures Limited,"1,580.36"
SUMEETINDS,Sumeet Industries Limited,"1,579.50"
GARUDA,Garuda Construction and Engineering Limited,"1,570.92"
BFINVEST,BF Investment Limited,"1,566.79"
TIL,TIL Limited,"1,566.52"
ARMANFIN,Arman Financial Services Limited,"1,563.27"
GTLINFRA,GTL Infrastructure Limited,"1,562.71"
JINDRILL,Jindal Drilling And Industries Limited,"1,562.08"
ASTEC,Astec LifeSciences Limited,"1,548.61"
ALLTIME,All Time Plastics Limited,"1,545.98"
RAMCOSYS,Ramco Systems Limited,"1,542.48"
OMAXE,Omaxe Limited,"1,537.83"
